Licenses,Regex
BitTorrent_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](BitTorrent[- ]1\.?0|(.{1,32} (AND|OR)){1,4} BitTorrent[- ]1\.?0)"""
BitTorrent_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](BitTorrent[- ]1\.?1|(.{1,32} (AND|OR)){1,4} BitTorrent[- ]1\.?1)"""
blessing," ""licen[cs]e(id|[- ]identifier| name)?[: ](blessing|(.{1,32} (AND|OR)){1,4} blessing)"""
BlueOak_100," ""licen[cs]e(id|[- ]identifier| name)?[: ](BlueOak[- ]1\.?0\.?0|(.{1,32} (AND|OR)){1,4} BlueOak[- ]1\.?0\.?0)"""
BSL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} BSL[- ]1\.?0)"""
Borceux," ""licen[cs]e(id|[- ]identifier| name)?[: ](Borceux|(.{1,32} (AND|OR)){1,4} Borceux)"""
BSD_1_Clause," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-1-Clause|(.{1,32} (AND|OR)){1,4} BSD-1-Clause)"""
BSD_2_Clause_1," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-2-Clause|(.{1,32} (AND|OR)){1,4} BSD-2-Clause)"""
BSD_2_Clause_2," ""licen[cs]e(id|[- ]identifier| name)?[: ](2-Clause.BSD|(.{1,32} (AND|OR)){1,4} 2-Clause.BSD)"""
BSD_2_Clause_FreeBSD," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-2-Clause-FreeBSD|(.{1,32} (AND|OR)){1,4} BSD-2-Clause-FreeBSD)"""
BSD_2_Clause_NetBSD," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-2-Clause-NetBSD|(.{1,32} (AND|OR)){1,4} BSD-2-Clause-NetBSD)"""
BSD_2_Clause_Patent," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-2-Clause-Patent|(.{1,32} (AND|OR)){1,4} BSD-2-Clause-Patent)"""
BSD_2_Clause_Views," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-2-Clause-Views|(.{1,32} (AND|OR)){1,4} BSD-2-Clause-Views)"""
BSD_3_Clause," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-3-Clause|(.{1,32} (AND|OR)){1,4} BSD-3-Clause)"""
BSD_3_Clause_Clear," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-3-Clause-Clear|(.{1,32} (AND|OR)){1,4} BSD-3-Clause-Clear)"""
BSD_3_Clause_No_Nuclear_License," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-3-Clause-No-Nuclear-License|(.{1,32} (AND|OR)){1,4} BSD-3-Clause-No-Nuclear-License)"""
BSD_3_Clause_No_Nuclear_License_2014," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-3-Clause-No-Nuclear-License-2014|(.{1,32} (AND|OR)){1,4} BSD-3-Clause-No-Nuclear-License-2014)"""
BSD_3_Clause_No_Nuclear_Warranty," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-3-Clause-No-Nuclear-Warranty|(.{1,32} (AND|OR)){1,4} BSD-3-Clause-No-Nuclear-Warranty)"""
BSD_3_Clause_Open_MPI," ""licen[cs]e(id|[- ]identifier| name)?[: ](BSD-3-Clause-Open-MPI|(.{1,32} (AND|OR)){1,4} BSD-3-Clause-Open-MPI)"""
